dbn,school_name,num of sat test takers,sat critical reading avg. score,sat math avg. score,sat writing avg. score,avg_sat_score,ap test takers,total exams taken,number of exams with scores 3 4 or 5,exams_per_student,high_score_percent,avg_class_size,frl_percent,total_enrollment,ell_percent,sped_percent,selfcontained_num,asian_per,black_per,hispanic_per,white_per,male_per,female_per,total cohort,grads_percent,dropout_percent,boro,lat,long,d75,studentssurveyed,schooltype,rr_s,rr_t,rr_p,nr_s,nr_t,nr_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11
10X549,DISCOVERY HIGH SCHOOL,55,372,379,364,1115,2.5,NA,NA,NA,NA,24,80,529,20.6,17.8,53,2.1,20.2,75.6,1.3,52.4,47.6,96,64.6,13.5,Bronx,40.8703774670004,-73.89816295199967,0,Yes,High School,59,70,8,479,33,469,8.7,8,7.7,8.1,8.3,7.3,7.1,8.2,6.2,5.5,6.1,6.8,7.6,6.7,6.8,7.6
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73,362,382,356,1100,2.5,NA,NA,NA,NA,25,71,1162,18.8,24.1,153,1.5,30.1,67.1,0.9,40,60,362,42,27.1,NA,NA,NA,0,Yes,High School,63,87,10,1280,95,1242,7.5,7.5,7.4,7.6,7.9,8.1,8.5,8.7,5.9,5.5,5.9,6.8,7.1,7,7.3,7.7
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,636,1920,194,302,243,1.556701030927835,80.4635761589404,22,20.8,377,0,1.3,0,16.7,10.6,18,53.8,53.8,46.2,78,97.4,1.3,Bronx,40.871255374,-73.89751620399966,0,Yes,High School,98,100,52,366,27,359,9.1,8.1,8.1,8.7,8.8,7.4,8.2,9,8.1,7.1,7.8,8.6,8.7,7.5,8,8.7
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74,370,381,382,1133,2.5,NA,NA,NA,NA,23,73.9,377,6.1,7.4,8,4.8,56.8,36.3,0.5,35.3,64.7,58,96.6,0,Bronx,40.8741317980004,-73.83380451299968,0,Yes,High School,90,87,14,295,23,286,8.3,7.9,7.3,8,8.2,6.8,7.4,7.9,6.3,5.4,5.8,7.2,7.6,6.7,6.8,7.7
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,400,357,390,1147,28,30,NA,1.0714285714285714,NA,24,72.4,422,8.5,14.5,23,2.4,48.3,47.6,1.7,40.8,59.2,118,66.9,11.9,Bronx,40.8757542110004,-73.86138783399963,0,Yes,High School,57,46,21,393,28,381,7.4,7.6,7.3,7.8,6.8,5.9,6.8,7.1,5.5,5.3,5.8,6.6,6.6,6.2,6.6,7.2
11X265,BRONX LAB SCHOOL,81,377,391,367,1135,2.5,NA,NA,NA,NA,22,75.5,482,3.7,15.8,14,2.7,37.8,57.3,1.7,59.5,40.5,94,62.8,7.4,Bronx,40.8757542110004,-73.86138783399963,0,Yes,High School,90,88,40,459,34,441,7.6,7.6,7.5,7.5,6.4,6.4,6.6,7.1,6.4,6,6.4,7.3,6.8,6.7,6.8,7.3
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,386,394,361,1141,24,24,NA,1,NA,28,63.7,606,6.3,18.5,45,2.5,63.7,32,0.7,52,48,65,66.2,3.1,Bronx,40.88791921400047,-73.85287161399964,0,Yes,Middle / High School,71,47,26,573,38,541,7.6,7.4,7.3,7.2,5.6,5,5.7,6.4,5.2,5.6,5.6,6.9,6.1,6,6.2,6.8
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,381,376,354,1111,2.5,NA,NA,NA,NA,28,71.8,550,10.2,20.2,8,3.6,34.9,59.5,1.3,87.3,12.7,90,82.2,3.3,Bronx,40.8757542110004,-73.86138783399963,0,Yes,High School,84,97,66,522,34,519,9.3,8.8,8.9,9,6.6,6.2,6.3,6.8,6.3,5.7,6.6,7.4,7.4,6.9,7.2,7.7
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97,444,471,433,1348,79,111,33,1.4050632911392404,29.72972972972973,24,67.9,543,3.3,14,18,9.2,36.8,46.8,7,57.1,42.9,121,74.4,15.7,Bronx,40.8596983160004,-73.86074140399967,0,Yes,High School,82,92,63,478,26,473,8.3,8.3,7.9,8.4,8.4,8.6,8.5,9.1,7.2,6.7,7.3,8.4,8,7.9,7.9,8.7
11X290,BRONX ACADEMY OF HEALTH CAREERS,69,387,365,383,1135,2.5,NA,NA,NA,NA,27,70.8,483,7.7,19,33,3.3,52.6,41.2,1,32.7,67.3,99,62.6,18.2,Bronx,40.8757542110004,-73.86138783399963,0,Yes,High School,85,96,56,437,27,429,7.3,7.1,7,7.4,7.9,8.2,7.9,8.4,5.9,5.7,5.9,7,7,7,7,7.6
11X299,ASTOR COLLEGIATE ACADEMY,60,387,391,391,1169,36,48,12,1.3333333333333333,25,24,64.4,498,7.6,21.7,23,5.4,35.7,46,11.8,58.6,41.4,111,64.9,9,Bronx,40.8596983160004,-73.86074140399967,0,Yes,High School,88,97,57,449,32,438,7.7,7.7,7.6,7.8,6.8,7.4,7.3,7.7,5.9,5.7,6.3,7.2,6.8,6.9,7.1,7.6
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,121,367,361,353,1081,34,34,6,1,17.647058823529413,27,59.2,727,18.3,24.1,88,5.8,34.9,46.5,12.7,55.2,44.8,382,41.6,13.6,NA,NA,NA,0,Yes,High School,57,79,27,1035,78,1080,8.5,8.2,8.4,8.1,6.7,7.3,7.4,7.8,6.1,5.9,6.6,7.2,7.1,7.1,7.5,7.7
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,416,1268,26,41,9,1.5769230769230769,21.951219512195124,27,68.7,483,5.2,20.9,26,1.9,29.2,62.3,6.4,58,42,95,62.1,15.8,Bronx,40.85143348500048,-73.86501795899966,0,Yes,High School,82,52,42,401,25,397,8.4,7.4,7.5,7.3,7,6.6,6.8,7.3,6.3,5.3,6.1,6.9,7.3,6.4,6.8,7.1
11X455,HARRY S TRUMAN HIGH SCHOOL,189,386,397,368,1151,103,135,27,1.3106796116504855,20,29,50.6,1773,9.2,25.1,258,2,51.8,43.8,1.3,60,40,565,59.8,13.8,Bronx,40.8741317980004,-73.83380451299968,0,Yes,High School,62,88,10,1864,113,1813,7.1,6.9,7,7.2,7.2,7.2,7.3,7.7,6,5.6,6.3,7.2,6.8,6.6,6.9,7.4
11X513,NEW WORLD HIGH SCHOOL,72,332,381,335,1048,12,12,NA,1,NA,22,79.5,402,80.1,1.5,0,12.4,13.2,70.4,3.2,50,50,62,74.2,3.2,Bronx,40.88791921400047,-73.85287161399964,0,Yes,High School,90,67,32,351,24,294,8.2,7.6,7.3,8.1,6.7,5,6.1,7.2,7.1,6.8,7.3,8,7.3,6.5,6.9,7.8
11X514,THE BRONXWOOD PREPARATORY ACADEMY,48,377,372,363,1112,2.5,NA,NA,NA,NA,23,66.7,416,7,20.9,42,1.9,58.2,37.3,1,61.3,38.7,66,50,15.2,Bronx,40.88791921400047,-73.85287161399964,0,Yes,High School,80,74,38,344,27,340,8.6,8,7.7,8,6.8,6.6,6.6,7.4,6,5.7,6.1,7.1,7.1,6.8,6.8,7.5
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,57,372,382,375,1129,2.5,NA,NA,NA,NA,21,80.3,270,14.4,17.8,22,4.1,35.9,54.1,5.6,56.7,43.3,116,50.9,16.4,NA,NA,NA,0,Yes,High School,74,19,24,352,31,346,7.7,7.6,7.3,7.6,7.1,6.2,5.2,6.4,5.9,5.8,6.2,7.1,6.9,6.5,6.2,7
